entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
308.74,308.74,313.55,4.81,1.05,5.9,105.0,375.9,-105.0,375.9,358.0,MAX_PROFIT,1,9,CLS,2026-01-14 15:00:00+00:00,3.21,24.3,308.95,320.34,-1.1306,0,49.6,"RSI=24.3, Close=$308.95 < KC_Lower=$320.34",2026-01-14 15:15:00+00:00
208.73,208.73,212.96,4.23,1.01,4.35,101.16,322.33,-101.16,290.63,287.3,MAX_PROFIT,1,8,COHR,2026-01-29 16:00:00+00:00,2.82,29.5,209.08,212.05,-0.9764,0,33.5,"RSI=29.5, Close=$209.08 < KC_Lower=$212.05",2026-01-29 16:15:00+00:00
413.9,413.9,420.39,6.49,1.05,1.08,105.0,543.95,-105.0,-8.25,-7.9,EXPIRY,2,7,MU,2026-01-30 20:15:00+00:00,4.33,27.9,413.61,421.64,-0.9816,0,21.5,"RSI=27.9, Close=$413.61 < KC_Lower=$421.64",2026-01-30 20:45:00+00:00
343.24,343.24,350.52,7.28,1.05,1.62,105.0,622.95,-105.0,40.83,38.9,BARS_STOP,10,9,CEG,2025-12-17 15:45:00+00:00,4.85,23.8,343.03,351.24,-1.1191,0,97.9,"RSI=23.8, Close=$343.03 < KC_Lower=$351.24",2025-12-17 18:15:00+00:00
337.42,337.42,342.77,5.36,1.05,5.17,105.0,430.94,-105.0,360.59,343.4,MAX_PROFIT,8,9,CEG,2025-12-17 18:30:00+00:00,3.57,24.8,337.36,340.4,-0.8418,0,93.1,"RSI=24.8, Close=$337.36 < KC_Lower=$340.40",2025-12-17 20:30:00+00:00
359.01,359.01,363.28,4.27,1.02,0.92,102.04,325.12,-102.04,-18.89,-18.5,BARS_STOP,10,4,CEG,2026-01-05 15:30:00+00:00,2.85,29.0,358.25,360.67,-0.5657,0,23.9,"RSI=29.0, Close=$358.25 < KC_Lower=$360.67",2026-01-05 18:00:00+00:00
349.76,349.76,353.29,3.53,0.84,4.18,84.26,268.47,-84.26,268.47,318.6,MAX_PROFIT,2,4,CEG,2026-01-05 18:45:00+00:00,2.35,28.9,350.44,351.94,-0.3955,0,22.3,"RSI=28.9, Close=$350.44 < KC_Lower=$351.94",2026-01-05 19:15:00+00:00
343.93,343.93,347.44,3.51,0.84,0.78,83.94,267.45,-83.94,-13.54,-16.1,BARS_STOP,10,9,CEG,2026-01-07 15:15:00+00:00,2.34,29.4,344.39,347.85,-0.5801,0,21.7,"RSI=29.4, Close=$344.39 < KC_Lower=$347.85",2026-01-07 17:45:00+00:00
341.03,341.03,343.76,2.73,0.65,0.61,65.24,207.88,-65.24,-10.53,-16.1,BARS_STOP,10,9,CEG,2026-01-07 18:00:00+00:00,1.82,29.1,341.19,342.83,-0.3761,0,36.6,"RSI=29.1, Close=$341.19 < KC_Lower=$342.83",2026-01-07 20:30:00+00:00
336.0,336.0,338.29,2.29,0.55,0.51,54.6,173.98,-54.6,-8.81,-16.1,BARS_STOP,10,9,CEG,2026-01-07 20:45:00+00:00,1.52,22.2,336.12,338.19,-0.3565,0,51.2,"RSI=22.2, Close=$336.12 < KC_Lower=$338.19",2026-01-08 16:45:00+00:00
324.22,324.22,327.23,3.01,0.72,0.67,71.83,228.87,-71.83,-11.76,-16.4,BARS_STOP,10,8,CEG,2026-01-08 18:00:00+00:00,2.0,21.6,324.0,327.07,-0.5999,0,52.2,"RSI=21.6, Close=$324.00 < KC_Lower=$327.07",2026-01-08 20:30:00+00:00
328.05,328.05,331.41,3.37,0.8,2.94,80.41,256.21,-80.41,183.82,228.6,MAX_PROFIT,3,9,CEG,2026-01-14 16:15:00+00:00,2.24,29.2,328.01,330.54,-0.4621,0,23.2,"RSI=29.2, Close=$328.01 < KC_Lower=$330.54",2026-01-14 17:00:00+00:00
320.56,320.56,325.62,5.06,1.05,1.12,105.0,401.08,-105.0,-4.27,-4.1,BARS_STOP,10,7,CEG,2026-01-16 14:45:00+00:00,3.37,16.0,319.68,334.55,-1.3872,0,41.7,"RSI=16.0, Close=$319.68 < KC_Lower=$334.55",2026-01-16 17:15:00+00:00
264.81,264.81,268.96,4.14,0.99,4.19,98.9,315.11,-98.9,278.08,281.2,MAX_PROFIT,3,3,FSLR,2025-12-23 16:15:00+00:00,2.76,28.8,264.8,271.68,-1.229,0,41.8,"RSI=28.8, Close=$264.80 < KC_Lower=$271.68",2025-12-23 17:00:00+00:00
191.68,191.68,192.89,1.21,0.29,0.27,28.85,91.93,-28.85,-4.81,-16.7,BARS_STOP,10,7,PLTR,2025-12-26 15:15:00+00:00,0.81,29.2,191.79,192.31,-0.2536,0,26.5,"RSI=29.2, Close=$191.79 < KC_Lower=$192.31",2025-12-26 17:45:00+00:00
189.5,189.5,190.42,0.92,0.22,0.2,22.06,70.3,-22.06,-3.68,-16.7,BARS_STOP,10,7,PLTR,2025-12-26 19:30:00+00:00,0.62,26.6,189.52,190.27,-0.2779,0,15.8,"RSI=26.6, Close=$189.52 < KC_Lower=$190.27",2025-12-29 15:30:00+00:00
186.05,186.05,187.49,1.44,0.34,0.31,34.46,109.81,-34.46,-6.38,-18.5,BARS_STOP,10,4,PLTR,2025-12-29 15:45:00+00:00,0.96,28.9,186.08,186.91,-0.4195,0,37.3,"RSI=28.9, Close=$186.08 < KC_Lower=$186.91",2025-12-29 18:15:00+00:00
183.97,183.97,184.89,0.92,0.22,0.87,22.01,70.13,-22.01,56.29,255.8,MAX_PROFIT,7,3,PLTR,2025-12-30 14:30:00+00:00,0.61,27.4,184.18,184.71,-0.3348,0,43.2,"RSI=27.4, Close=$184.18 < KC_Lower=$184.71",2025-12-30 16:15:00+00:00
181.58,181.58,182.37,0.79,0.19,0.17,18.85,60.07,-18.85,-3.76,-20.0,BARS_STOP,10,3,PLTR,2025-12-30 20:45:00+00:00,0.53,27.5,181.52,182.14,-0.261,0,41.7,"RSI=27.5, Close=$181.52 < KC_Lower=$182.14",2025-12-31 16:45:00+00:00
178.42,178.42,179.24,0.82,0.2,0.18,19.69,62.73,-19.69,-3.18,-16.1,BARS_STOP,10,9,PLTR,2025-12-31 19:30:00+00:00,0.55,26.8,178.45,179.03,-0.2519,0,50.1,"RSI=26.8, Close=$178.45 < KC_Lower=$179.03",2026-01-02 15:30:00+00:00
172.86,172.86,174.82,1.96,0.47,0.43,46.87,149.35,-46.87,-7.82,-16.7,BARS_STOP,10,7,PLTR,2026-01-02 16:00:00+00:00,1.31,21.5,173.01,175.33,-0.6876,0,41.2,"RSI=21.5, Close=$173.01 < KC_Lower=$175.33",2026-01-02 18:30:00+00:00
178.38,178.38,180.48,2.1,0.5,0.47,50.06,159.5,-50.06,-8.2,-16.4,BARS_STOP,10,8,PLTR,2026-01-08 16:45:00+00:00,1.4,29.5,178.19,179.01,-0.5067,0,24.1,"RSI=29.5, Close=$178.19 < KC_Lower=$179.01",2026-01-08 19:15:00+00:00
175.61,175.61,177.19,1.58,0.38,1.8,37.62,119.88,-37.62,119.88,318.6,MAX_PROFIT,3,8,PLTR,2026-01-08 19:30:00+00:00,1.05,25.4,175.59,176.71,-0.5068,0,23.6,"RSI=25.4, Close=$175.59 < KC_Lower=$176.71",2026-01-08 20:15:00+00:00
174.41,174.41,176.55,2.13,0.51,0.47,50.96,162.36,-50.96,-8.5,-16.7,BARS_STOP,10,7,PLTR,2026-01-16 15:00:00+00:00,1.42,29.4,174.45,175.73,-0.5,0,19.0,"RSI=29.4, Close=$174.45 < KC_Lower=$175.73",2026-01-16 17:30:00+00:00
170.88,170.88,172.79,1.9,0.45,0.53,45.44,144.78,-45.44,1.87,4.1,BARS_STOP,10,7,PLTR,2026-01-16 18:00:00+00:00,1.27,26.6,170.87,172.51,-0.5866,0,19.1,"RSI=26.6, Close=$170.87 < KC_Lower=$172.51",2026-01-16 20:30:00+00:00
452.09,452.09,457.79,5.7,1.05,1.23,105.0,464.73,-105.0,5.9,5.6,BARS_STOP,10,4,CVNA,2025-12-22 14:30:00+00:00,3.8,24.6,450.38,458.53,-0.7601,0,34.2,"RSI=24.6, Close=$450.38 < KC_Lower=$458.53",2025-12-22 17:00:00+00:00
448.5,448.5,451.92,3.41,0.82,0.75,81.54,259.83,-81.54,-13.6,-16.7,BARS_STOP,10,7,CVNA,2026-01-16 19:45:00+00:00,2.28,28.2,448.6,452.22,-0.447,0,25.1,"RSI=28.2, Close=$448.60 < KC_Lower=$452.22",2026-01-20 15:45:00+00:00
452.04,452.04,457.83,5.79,1.05,0.58,105.0,473.64,-105.0,-52.55,-50.0,STOP_LOSS,2,9,CVNA,2026-01-28 14:45:00+00:00,3.86,19.1,452.49,472.12,-1.082,0,14.1,"RSI=19.1, Close=$452.49 < KC_Lower=$472.12",2026-01-28 15:15:00+00:00
84.78,84.78,85.38,0.6,0.14,0.4,14.29,45.54,-14.29,21.65,151.5,BARS_STOP,10,4,MRVL,2025-12-29 15:00:00+00:00,0.4,21.0,84.81,85.59,-0.4074,0,18.3,"RSI=21.0, Close=$84.81 < KC_Lower=$85.59",2025-12-29 17:30:00+00:00
84.84,84.84,86.44,1.6,0.38,0.36,38.33,122.13,-38.33,-6.19,-16.1,BARS_STOP,10,9,MRVL,2026-01-07 14:45:00+00:00,1.07,26.5,84.93,86.88,-0.8969,0,15.9,"RSI=26.5, Close=$84.93 < KC_Lower=$86.88",2026-01-07 17:15:00+00:00
124.39,124.39,125.89,1.5,0.36,1.67,35.84,114.19,-35.84,114.19,318.6,MAX_PROFIT,9,8,SATS,2026-01-15 19:15:00+00:00,1.0,29.8,124.29,125.79,-0.611,0,34.4,"RSI=29.8, Close=$124.29 < KC_Lower=$125.79",2026-01-16 15:00:00+00:00
121.39,121.39,122.79,1.4,0.33,1.49,33.36,106.31,-33.36,100.31,300.6,MAX_PROFIT,4,9,SATS,2026-01-21 14:45:00+00:00,0.93,29.7,121.28,122.23,-0.5229,0,25.1,"RSI=29.7, Close=$121.28 < KC_Lower=$122.23",2026-01-21 15:45:00+00:00
123.8,123.8,125.19,1.39,0.33,0.3,33.31,106.13,-33.31,-6.17,-18.5,BARS_STOP,10,4,SATS,2026-01-26 15:15:00+00:00,0.93,29.8,123.7,124.78,-0.5028,0,21.2,"RSI=29.8, Close=$123.70 < KC_Lower=$124.78",2026-01-26 17:45:00+00:00
125.26,125.26,126.72,1.46,0.35,0.15,34.78,110.82,-34.78,-21.42,-61.6,STOP_LOSS,1,8,SATS,2026-01-29 15:15:00+00:00,0.97,25.6,125.27,127.05,-0.7079,0,32.0,"RSI=25.6, Close=$125.27 < KC_Lower=$127.05",2026-01-29 15:30:00+00:00
124.05,124.05,125.6,1.55,0.37,0.16,37.14,118.33,-37.14,-23.06,-62.1,STOP_LOSS,1,8,SATS,2026-01-29 15:45:00+00:00,1.04,21.0,123.95,126.23,-1.0095,0,34.6,"RSI=21.0, Close=$123.95 < KC_Lower=$126.23",2026-01-29 16:00:00+00:00
120.36,120.36,122.14,1.78,0.43,0.16,42.6,135.73,-42.6,-27.89,-65.5,STOP_LOSS,1,8,SATS,2026-01-29 18:45:00+00:00,1.19,25.0,121.11,123.18,-1.2231,0,37.5,"RSI=25.0, Close=$121.11 < KC_Lower=$123.18",2026-01-29 19:00:00+00:00
232.53,232.53,235.55,3.02,0.72,1.05,72.11,229.78,-72.11,21.94,30.4,EXPIRY,1,7,LRCX,2026-01-30 20:30:00+00:00,2.01,26.8,232.58,235.7,-0.7102,0,24.3,"RSI=26.8, Close=$232.58 < KC_Lower=$235.70",2026-01-30 20:45:00+00:00
244.42,244.42,247.6,3.18,0.76,0.32,76.0,242.16,-76.0,-47.19,-62.1,STOP_LOSS,1,8,AMD,2026-01-29 15:45:00+00:00,2.12,25.9,244.82,247.77,-0.7462,0,19.4,"RSI=25.9, Close=$244.82 < KC_Lower=$247.77",2026-01-29 16:00:00+00:00
243.85,243.85,247.15,3.3,0.79,3.54,78.81,251.12,-78.81,239.59,304.0,MAX_PROFIT,3,8,AMD,2026-01-29 16:15:00+00:00,2.2,27.0,243.73,246.27,-0.7732,0,20.1,"RSI=27.0, Close=$243.73 < KC_Lower=$246.27",2026-01-29 17:00:00+00:00
123.11,123.11,124.49,1.38,0.33,1.69,32.95,104.99,-32.95,104.99,318.6,MAX_PROFIT,3,3,NEM,2026-01-27 15:00:00+00:00,0.92,27.8,123.16,125.0,-0.7273,0,26.1,"RSI=27.8, Close=$123.16 < KC_Lower=$125.00",2026-01-27 15:45:00+00:00
123.99,123.99,126.19,2.2,0.53,2.41,52.52,167.33,-52.52,164.42,313.1,MAX_PROFIT,6,8,NEM,2026-01-29 16:00:00+00:00,1.47,29.5,124.21,127.29,-1.1665,0,24.7,"RSI=29.5, Close=$124.21 < KC_Lower=$127.29",2026-01-29 17:30:00+00:00
119.43,119.43,122.02,2.59,0.62,0.22,61.87,197.15,-61.87,-41.91,-67.7,STOP_LOSS,1,7,NEM,2026-01-30 14:45:00+00:00,1.73,28.5,119.58,123.33,-1.1458,0,24.0,"RSI=28.5, Close=$119.58 < KC_Lower=$123.33",2026-01-30 15:00:00+00:00
117.67,117.67,119.98,2.31,0.55,0.18,55.14,175.68,-55.14,-38.89,-70.5,STOP_LOSS,1,7,NEM,2026-01-30 16:15:00+00:00,1.54,28.9,117.71,120.35,-1.3198,0,35.0,"RSI=28.9, Close=$117.71 < KC_Lower=$120.35",2026-01-30 16:30:00+00:00
116.32,116.32,118.49,2.17,0.52,0.16,51.82,165.13,-51.82,-37.12,-71.6,STOP_LOSS,1,7,NEM,2026-01-30 16:45:00+00:00,1.45,26.2,116.35,119.41,-1.4192,0,38.6,"RSI=26.2, Close=$116.35 < KC_Lower=$119.41",2026-01-30 17:00:00+00:00
76.98,76.98,78.0,1.02,0.24,0.91,24.3,77.42,-24.3,57.3,235.8,MAX_PROFIT,2,8,MCHP,2026-01-29 15:45:00+00:00,0.68,28.6,76.97,78.44,-0.9545,0,33.4,"RSI=28.6, Close=$76.97 < KC_Lower=$78.44",2026-01-29 16:15:00+00:00
76.03,76.03,76.71,0.68,0.16,0.07,16.21,51.65,-16.21,-10.34,-63.8,STOP_LOSS,1,7,MCHP,2026-01-30 18:00:00+00:00,0.45,27.4,76.09,76.62,-0.4952,0,29.1,"RSI=27.4, Close=$76.09 < KC_Lower=$76.62",2026-01-30 18:15:00+00:00
76.03,76.03,76.71,0.68,0.16,0.11,16.23,51.7,-16.23,-6.56,-40.4,STOP_LOSS,1,7,MCHP,2026-01-30 18:30:00+00:00,0.45,29.3,76.05,76.38,-0.5,0,32.6,"RSI=29.3, Close=$76.05 < KC_Lower=$76.38",2026-01-30 18:45:00+00:00
75.13,75.13,75.84,0.71,0.17,0.71,16.95,54.0,-16.95,46.9,276.8,MAX_PROFIT,1,7,MCHP,2026-01-30 20:30:00+00:00,0.47,29.3,75.18,75.67,-0.3728,0,35.9,"RSI=29.3, Close=$75.18 < KC_Lower=$75.67",2026-01-30 20:45:00+00:00
