symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
SOFI,15M_OPT,27.09,5.9,49.19,25.23,True,True
INTC,15M_OPT,40.77,5.47,121.04,29.86,True,True
CVNA,15M_OPT,467.49,4.57,66.69,353.14,True,True
SHOP,15M_OPT,168.37,4.01,47.52,144.25,True,True
PLTR,15M_OPT,187.93,3.93,181.14,168.19,True,True
LRCX,15M_OPT,168.13,3.85,65.19,124.41,True,True
DELL,15M_OPT,140.6,3.81,34.73,135.39,True,True
HPE,15M_OPT,25.26,3.64,38.01,22.46,True,True
ANET,15M_OPT,132.36,3.56,43.88,131.88,True,True
BABA,15M_OPT,158.83,3.51,75.23,144.93,True,True
DDOG,15M_OPT,151.2,3.35,33.09,147.92,True,True
REGN,15M_OPT,726.26,3.11,37.42,600.41,True,True
GOOGL,15M_OPT,320.22,2.98,454.16,236.57,True,True
FCX,15M_OPT,46.44,2.98,39.99,42.58,True,True
GOOG,15M_OPT,320.88,2.96,210.72,237.25,True,True
ADI,15M_OPT,281.55,2.93,49.42,241.74,True,True
TSM,15M_OPT,310.15,2.86,119.92,263.7,True,True
LLY,15M_OPT,993.06,2.66,133.58,822.02,True,True
CRM,15M_OPT,264.19,2.59,76.15,249.97,True,True
CRH,15M_OPT,125.14,2.57,34.32,109.63,True,True
UNH,15M_OPT,328.28,2.52,60.06,318.62,True,True
GE,15M_OPT,283.44,2.48,50.58,283.26,True,True
C,15M_OPT,111.03,2.31,49.97,96.65,True,True
GS,15M_OPT,889.12,2.28,48.83,760.19,True,True
IBM,15M_OPT,312.69,2.28,41.27,278.46,True,True
AMZN,15M_OPT,231.69,2.23,344.72,226.86,True,True
WFC,15M_OPT,90.69,2.21,70.19,82.59,True,True
MCK,15M_OPT,813.31,2.16,35.48,751.41,True,True
MS,15M_OPT,179.76,2.15,37.83,153.81,True,True
GM,15M_OPT,80.8,2.11,37.1,60.22,True,True
AXP,15M_OPT,375.44,2.05,34.1,331.84,True,True
SOFI,15M_STK,27.09,5.9,49.19,25.23,True,True
HOOD,15M_STK,135.57,5.8,64.06,117.87,True,True
INTC,15M_STK,40.77,5.47,121.04,29.86,True,True
WDC,15M_STK,181.88,5.41,45.36,106.94,True,True
VRT,15M_STK,181.86,5.34,49.67,150.86,True,True
APP,15M_STK,703.21,4.8,88.28,517.61,True,True
AMD,15M_STK,221.38,4.65,257.54,188.13,True,True
AVGO,15M_STK,412.79,4.02,242.28,326.97,True,True
SHOP,15M_STK,168.37,4.01,47.52,144.25,True,True
LRCX,15M_STK,168.13,3.85,65.19,124.41,True,True
CEG,15M_STK,362.03,3.78,33.82,340.03,True,True
HPE,15M_STK,25.26,3.64,38.01,22.46,True,True
NVDA,15M_STK,183.75,3.59,750.77,178.63,True,True
ANET,15M_STK,132.36,3.56,43.88,131.88,True,True
TSLA,15M_STK,451.44,3.51,459.87,382.91,True,True
AMAT,15M_STK,275.08,3.41,78.42,203.43,True,True
NEM,15M_STK,94.37,3.4,30.64,76.48,True,True
WBD,15M_STK,29.52,3.37,78.21,16.92,True,True
DDOG,15M_STK,151.2,3.35,33.09,147.92,True,True
GOOGL,15M_STK,320.22,2.98,454.16,236.57,True,True
GOOG,15M_STK,320.88,2.96,210.72,237.25,True,True
ADI,15M_STK,281.55,2.93,49.42,241.74,True,True
APH,15M_STK,138.63,2.9,47.17,119.08,True,True
TSM,15M_STK,310.15,2.86,119.92,263.7,True,True
ARES,15M_STK,178.26,2.7,30.09,168.06,True,True
LLY,15M_STK,993.06,2.66,133.58,822.02,True,True
ACN,15M_STK,272.32,2.61,40.69,257.76,True,True
CRM,15M_STK,264.19,2.59,76.15,249.97,True,True
CRH,15M_STK,125.14,2.57,34.32,109.63,True,True
UNH,15M_STK,328.28,2.52,60.06,318.62,True,True
GE,15M_STK,283.44,2.48,50.58,283.26,True,True
JPM,15M_STK,310.13,2.4,75.05,300.55,True,True
AMGN,15M_STK,315.3,2.35,34.19,299.57,True,True
C,15M_STK,111.03,2.31,49.97,96.65,True,True
COF,15M_STK,237.72,2.29,36.88,217.49,True,True
ABBV,15M_STK,225.19,2.28,51.43,212.86,True,True
GS,15M_STK,889.12,2.28,48.83,760.19,True,True
IBM,15M_STK,312.69,2.28,41.27,278.46,True,True
AMZN,15M_STK,231.69,2.23,344.72,226.86,True,True
PFE,15M_STK,25.78,2.19,71.73,24.88,True,True
MS,15M_STK,179.76,2.15,37.83,153.81,True,True
NEE,15M_STK,81.27,2.15,40.17,77.27,True,True
GM,15M_STK,80.8,2.11,37.1,60.22,True,True
ISRG,15M_STK,555.72,2.03,34.95,500.25,True,True
SOFI,WK_OPT,27.09,5.9,49.19,25.23,True,True
STX,WK_OPT,298.93,4.91,35.68,202.99,True,True
SHOP,WK_OPT,168.37,4.01,47.52,144.25,True,True
CEG,WK_OPT,362.03,3.78,33.82,340.03,True,True
CRWD,WK_OPT,519.36,3.7,35.64,482.58,True,True
HPE,WK_OPT,25.26,3.64,38.01,22.46,True,True
DDOG,WK_OPT,151.2,3.35,33.09,147.92,True,True
REGN,WK_OPT,726.26,3.11,37.42,600.41,True,True
ADI,WK_OPT,281.55,2.93,49.42,241.74,True,True
MRK,WK_OPT,97.61,2.86,75.64,85.98,True,True
LLY,WK_OPT,993.06,2.66,133.58,822.02,True,True
ACN,WK_OPT,272.32,2.61,40.69,257.76,True,True
EXPE,WK_OPT,274.1,2.53,32.77,214.03,True,True
UNH,WK_OPT,328.28,2.52,60.06,318.62,True,True
WMT,WK_OPT,113.13,2.42,119.49,101.96,True,True
ABBV,WK_OPT,225.19,2.28,51.43,212.86,True,True
GS,WK_OPT,889.12,2.28,48.83,760.19,True,True
IBM,WK_OPT,312.69,2.28,41.27,278.46,True,True
PFE,WK_OPT,25.78,2.19,71.73,24.88,True,True
MCK,WK_OPT,813.31,2.16,35.48,751.41,True,True
LOW,WK_OPT,246.15,2.1,35.99,241.58,True,True
ISRG,WK_OPT,555.72,2.03,34.95,500.25,True,True
TMO,WK_OPT,573.82,2.02,50.31,503.1,True,True
WDC,WK_STK,181.88,5.41,45.36,106.94,True,True
VRT,WK_STK,181.86,5.34,49.67,150.86,True,True
MU,WK_STK,263.72,5.15,160.41,165.98,True,True
CIEN,WK_STK,221.53,4.96,33.43,135.09,True,True
STX,WK_STK,298.93,4.91,35.68,202.99,True,True
CVNA,WK_STK,467.49,4.57,66.69,353.14,True,True
PLTR,WK_STK,187.93,3.93,181.14,168.19,True,True
CRWD,WK_STK,519.36,3.7,35.64,482.58,True,True
NVDA,WK_STK,183.75,3.59,750.77,178.63,True,True
TSLA,WK_STK,451.44,3.51,459.87,382.91,True,True
NEM,WK_STK,94.37,3.4,30.64,76.48,True,True
WBD,WK_STK,29.52,3.37,78.21,16.92,True,True
REGN,WK_STK,726.26,3.11,37.42,600.41,True,True
SLB,WK_STK,39.94,2.73,31.56,35.09,True,True
ARES,WK_STK,178.26,2.7,30.09,168.06,True,True
BMY,WK_STK,51.22,2.62,43.54,46.62,True,True
ACN,WK_STK,272.32,2.61,40.69,257.76,True,True
CRM,WK_STK,264.19,2.59,76.15,249.97,True,True
CRH,WK_STK,125.14,2.57,34.32,109.63,True,True
CAT,WK_STK,615.18,2.47,49.65,474.96,True,True
JPM,WK_STK,310.13,2.4,75.05,300.55,True,True
ABBV,WK_STK,225.19,2.28,51.43,212.86,True,True
IBM,WK_STK,312.69,2.28,41.27,278.46,True,True
WFC,WK_STK,90.69,2.21,70.19,82.59,True,True
MCK,WK_STK,813.31,2.16,35.48,751.41,True,True
WELL,WK_STK,191.13,2.1,31.17,173.07,True,True
ISRG,WK_STK,555.72,2.03,34.95,500.25,True,True
TMO,WK_STK,573.82,2.02,50.31,503.1,True,True
